# timestamp, x, y, z, qx, qy, qz, qw
0, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 0.000000, 1.000000
10000000, -0.000990, -0.000139, -0.000973, -0.000015, 0.000006, -0.000033, 1.000000
20000000, -0.001953, -0.000339, -0.001677, -0.000031, 0.000015, -0.000070, 1.000000
30000000, -0.002873, -0.000602, -0.002084, -0.000047, 0.000025, -0.000111, 1.000000
40000000, -0.003733, -0.000927, -0.002167, -0.000063, 0.000037, -0.000154, 1.000000
50000000, -0.004516, -0.001310, -0.001904, -0.000078, 0.000051, -0.000201, 1.000000
60000000, -0.005205, -0.001747, -0.001271, -0.000093, 0.000065, -0.000249, 1.000000
70000000, -0.005787, -0.002232, -0.000251, -0.000105, 0.000082, -0.000300, 1.000000
80000000, -0.006246, -0.002755, 0.001172, -0.000116, 0.000099, -0.000352, 1.000000
90000000, -0.006571, -0.003304, 0.003007, -0.000124, 0.000117, -0.000404, 1.000000
100000000, -0.006749, -0.003868, 0.005262, -0.000129, 0.000135, -0.000457, 1.000000
110000000, -0.006772, -0.004432, 0.007936, -0.000130, 0.000155, -0.000510, 1.000000
120000000, -0.006630, -0.004977, 0.011025, -0.000128, 0.000175, -0.000561, 1.000000
130000000, -0.006318, -0.005488, 0.014518, -0.000122, 0.000195, -0.000612, 1.000000
140000000, -0.005832, -0.005942, 0.018399, -0.000111, 0.000216, -0.000660, 1.000000
150000000, -0.005167, -0.006321, 0.022644, -0.000096, 0.000237, -0.000706, 1.000000
160000000, -0.004324, -0.006602, 0.027225, -0.000077, 0.000258, -0.000748, 1.000000
170000000, -0.003303, -0.006764, 0.032108, -0.000053, 0.000279, -0.000788, 1.000000
180000000, -0.002108, -0.006784, 0.037252, -0.000025, 0.000301, -0.000823, 1.000000
190000000, -0.000741, -0.006640, 0.042613, 0.000008, 0.000323, -0.000855, 1.000000
200000000, 0.000792, -0.006311, 0.048140, 0.000046, 0.000345, -0.000882, 1.000000
210000000, 0.002482, -0.005777, 0.053781, 0.000088, 0.000368, -0.000905, 1.000000
220000000, 0.004323, -0.005018, 0.059478, 0.000134, 0.000390, -0.000924, 0.999999
230000000, 0.006304, -0.004016, 0.065171, 0.000184, 0.000414, -0.000938, 0.999999
240000000, 0.008417, -0.002758, 0.070800, 0.000237, 0.000437, -0.000949, 0.999999
250000000, 0.010737, -0.000665, 0.073249, 0.000283, 0.000443, -0.000917, 0.999999
