# timestamp, x, y, z, qx, qy, qz, qw
0, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 0.000000, 1.000000
10000000, -0.000004, 0.000129, -0.000775, 0.000009, 0.000007, 0.000014, 1.000000
20000000, 0.000006, 0.000262, -0.001586, 0.000020, 0.000017, 0.000032, 1.000000
30000000, 0.000030, 0.000397, -0.002422, 0.000032, 0.000032, 0.000052, 1.000000
40000000, 0.000070, 0.000534, -0.003274, 0.000044, 0.000051, 0.000075, 1.000000
50000000, 0.000124, 0.000673, -0.004132, 0.000059, 0.000075, 0.000099, 1.000000
60000000, 0.000195, 0.000813, -0.004988, 0.000075, 0.000104, 0.000125, 1.000000
70000000, 0.000282, 0.000951, -0.005833, 0.000092, 0.000138, 0.000150, 1.000000
80000000, 0.000387, 0.001089, -0.006662, 0.000111, 0.000178, 0.000176, 1.000000
90000000, 0.000510, 0.001223, -0.007467, 0.000132, 0.000222, 0.000200, 1.000000
100000000, 0.000652, 0.001354, -0.008244, 0.000155, 0.000272, 0.000222, 1.000000
110000000, 0.000815, 0.001480, -0.008989, 0.000180, 0.000326, 0.000241, 1.000000
120000000, 0.000999, 0.001601, -0.009697, 0.000207, 0.000384, 0.000256, 1.000000
130000000, 0.001205, 0.001716, -0.010368, 0.000236, 0.000447, 0.000267, 1.000000
140000000, 0.001436, 0.001824, -0.010998, 0.000266, 0.000513, 0.000273, 1.000000
150000000, 0.001693, 0.001925, -0.011588, 0.000298, 0.000583, 0.000273, 1.000000
160000000, 0.001977, 0.002018, -0.012137, 0.000332, 0.000655, 0.000267, 1.000000
170000000, 0.002288, 0.002106, -0.012646, 0.000367, 0.000729, 0.000254, 1.000000
180000000, 0.002630, 0.002186, -0.013115, 0.000403, 0.000805, 0.000233, 1.000000
190000000, 0.003002, 0.002262, -0.013547, 0.000440, 0.000882, 0.000206, 0.999999
200000000, 0.003407, 0.002333, -0.013943, 0.000477, 0.000959, 0.000170, 0.999999
210000000, 0.003844, 0.002401, -0.014306, 0.000514, 0.001036, 0.000127, 0.999999
220000000, 0.004314, 0.002469, -0.014638, 0.000551, 0.001112, 0.000077, 0.999999
230000000, 0.004818, 0.002537, -0.014940, 0.000587, 0.001187, 0.000019, 0.999999
240000000, 0.005357, 0.002609, -0.015216, 0.000621, 0.001260, -0.000046, 0.999999
250000000, 0.005820, 0.002708, -0.014849, 0.000628, 0.001277, -0.000113, 0.999999
260000000, 0.006305, 0.002836, -0.014489, 0.000632, 0.001290, -0.000181, 0.999999
270000000, 0.006813, 0.002994, -0.014137, 0.000633, 0.001300, -0.000248, 0.999999
280000000, 0.007340, 0.003184, -0.013794, 0.000631, 0.001306, -0.000315, 0.999999
290000000, 0.007887, 0.003407, -0.013459, 0.000626, 0.001309, -0.000380, 0.999999
300000000, 0.008450, 0.003666, -0.013133, 0.000618, 0.001308, -0.000443, 0.999999
310000000, 0.009029, 0.003960, -0.012814, 0.000607, 0.001305, -0.000504, 0.999999
320000000, 0.009620, 0.004291, -0.012502, 0.000592, 0.001299, -0.000562, 0.999999
330000000, 0.010223, 0.004659, -0.012195, 0.000575, 0.001290, -0.000616, 0.999999
340000000, 0.010833, 0.005064, -0.011894, 0.000554, 0.001280, -0.000667, 0.999999
350000000, 0.011450, 0.005506, -0.011596, 0.000530, 0.001268, -0.000713, 0.999999
360000000, 0.012070, 0.005984, -0.011300, 0.000504, 0.001255, -0.000755, 0.999999
370000000, 0.012691, 0.006498, -0.011005, 0.000474, 0.001240, -0.000792, 0.999999
380000000, 0.013310, 0.007047, -0.010711, 0.000443, 0.001225, -0.000825, 0.999999
390000000, 0.013926, 0.007629, -0.010415, 0.000409, 0.001210, -0.000852, 0.999999
400000000, 0.014536, 0.008243, -0.010117, 0.000373, 0.001194, -0.000874, 0.999999
410000000, 0.015138, 0.008886, -0.009816, 0.000335, 0.001179, -0.000891, 0.999999
420000000, 0.015729, 0.009557, -0.009512, 0.000296, 0.001164, -0.000903, 0.999999
430000000, 0.016309, 0.010253, -0.009203, 0.000256, 0.001149, -0.000910, 0.999999
440000000, 0.016875, 0.010972, -0.008891, 0.000216, 0.001135, -0.000912, 0.999999
450000000, 0.017426, 0.011710, -0.008573, 0.000175, 0.001123, -0.000910, 0.999999
460000000, 0.017961, 0.012466, -0.008251, 0.000134, 0.001111, -0.000904, 0.999999
470000000, 0.018480, 0.013235, -0.007925, 0.000094, 0.001100, -0.000894, 0.999999
480000000, 0.018981, 0.014015, -0.007595, 0.000054, 0.001091, -0.000880, 0.999999
490000000, 0.019466, 0.014803, -0.007263, 0.000015, 0.001083, -0.000864, 0.999999
500000000, 0.019932, 0.015595, -0.006927, -0.000022, 0.001076, -0.000845, 0.999999
510000000, 0.020383, 0.016389, -0.006591, -0.000057, 0.001070, -0.000824, 0.999999
520000000, 0.020818, 0.017183, -0.006254, -0.000090, 0.001065, -0.000802, 0.999999
530000000, 0.021241, 0.017975, -0.005918, -0.000121, 0.001061, -0.000779, 0.999999
540000000, 0.021654, 0.018763, -0.005584, -0.000149, 0.001057, -0.000755, 0.999999
550000000, 0.022060, 0.019546, -0.005252, -0.000174, 0.001055, -0.000731, 0.999999
560000000, 0.022461, 0.020322, -0.004925, -0.000197, 0.001052, -0.000708, 0.999999
570000000, 0.022862, 0.021091, -0.004602, -0.000216, 0.001050, -0.000685, 0.999999
580000000, 0.023265, 0.021851, -0.004286, -0.000232, 0.001047, -0.000665, 0.999999
590000000, 0.023673, 0.022602, -0.003976, -0.000244, 0.001045, -0.000645, 0.999999
600000000, 0.024091, 0.023343, -0.003674, -0.000254, 0.001041, -0.000628, 0.999999
610000000, 0.024521, 0.024073, -0.003380, -0.000260, 0.001037, -0.000614, 0.999999
620000000, 0.024966, 0.024792, -0.003093, -0.000263, 0.001032, -0.000602, 0.999999
630000000, 0.025431, 0.025501, -0.002815, -0.000263, 0.001026, -0.000593, 0.999999
640000000, 0.025917, 0.026199, -0.002545, -0.000261, 0.001018, -0.000588, 0.999999
650000000, 0.026429, 0.026887, -0.002283, -0.000255, 0.001008, -0.000585, 0.999999
660000000, 0.026968, 0.027565, -0.002027, -0.000248, 0.000997, -0.000586, 0.999999
670000000, 0.027538, 0.028234, -0.001777, -0.000238, 0.000984, -0.000591, 0.999999
