# timestamp, x, y, z, qx, qy, qz, qw
0, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 0.000000, 1.000000
10000000, -0.000301, -0.000208, -0.001007, -0.000014, 0.000021, -0.000034, 1.000000
20000000, -0.000647, -0.000378, -0.002058, -0.000023, 0.000045, -0.000069, 1.000000
30000000, -0.001032, -0.000505, -0.003154, -0.000028, 0.000071, -0.000104, 1.000000
40000000, -0.001447, -0.000587, -0.004296, -0.000028, 0.000099, -0.000139, 1.000000
50000000, -0.001883, -0.000623, -0.005482, -0.000023, 0.000129, -0.000174, 1.000000
60000000, -0.002333, -0.000613, -0.006712, -0.000015, 0.000161, -0.000208, 1.000000
70000000, -0.002787, -0.000557, -0.007983, -0.000002, 0.000194, -0.000242, 1.000000
80000000, -0.003235, -0.000457, -0.009293, 0.000014, 0.000230, -0.000274, 1.000000
90000000, -0.003670, -0.000314, -0.010640, 0.000033, 0.000267, -0.000305, 1.000000
100000000, -0.004083, -0.000134, -0.012021, 0.000056, 0.000305, -0.000335, 1.000000
110000000, -0.004463, 0.000081, -0.013432, 0.000081, 0.000345, -0.000362, 1.000000
120000000, -0.004804, 0.000325, -0.014870, 0.000109, 0.000385, -0.000388, 1.000000
130000000, -0.005098, 0.000593, -0.016331, 0.000138, 0.000426, -0.000411, 1.000000
140000000, -0.005337, 0.000881, -0.017811, 0.000170, 0.000467, -0.000432, 1.000000
150000000, -0.005515, 0.001181, -0.019307, 0.000202, 0.000508, -0.000450, 1.000000
160000000, -0.005626, 0.001487, -0.020816, 0.000236, 0.000548, -0.000465, 1.000000
170000000, -0.005665, 0.001795, -0.022333, 0.000270, 0.000587, -0.000477, 1.000000
180000000, -0.005627, 0.002099, -0.023856, 0.000306, 0.000624, -0.000487, 1.000000
190000000, -0.005511, 0.002392, -0.025380, 0.000341, 0.000659, -0.000495, 1.000000
200000000, -0.005312, 0.002672, -0.026903, 0.000377, 0.000692, -0.000499, 1.000000
210000000, -0.005029, 0.002933, -0.028420, 0.000413, 0.000722, -0.000502, 1.000000
220000000, -0.004662, 0.003173, -0.029928, 0.000449, 0.000749, -0.000502, 0.999999
230000000, -0.004211, 0.003389, -0.031423, 0.000485, 0.000771, -0.000501, 0.999999
240000000, -0.003676, 0.003581, -0.032900, 0.000522, 0.000790, -0.000499, 0.999999
250000000, -0.002614, 0.003919, -0.032982, 0.000536, 0.000771, -0.000476, 0.999999
260000000, -0.001491, 0.004279, -0.033032, 0.000550, 0.000749, -0.000454, 0.999999
270000000, -0.000308, 0.004667, -0.033050, 0.000563, 0.000724, -0.000435, 0.999999
280000000, 0.000932, 0.005089, -0.033032, 0.000576, 0.000696, -0.000418, 1.000000
290000000, 0.002224, 0.005551, -0.032978, 0.000588, 0.000665, -0.000404, 1.000000
300000000, 0.003566, 0.006058, -0.032883, 0.000601, 0.000631, -0.000393, 1.000000
310000000, 0.004956, 0.006617, -0.032745, 0.000615, 0.000595, -0.000385, 1.000000
320000000, 0.006390, 0.007234, -0.032561, 0.000629, 0.000556, -0.000381, 1.000000
330000000, 0.007865, 0.007913, -0.032326, 0.000643, 0.000514, -0.000380, 1.000000
340000000, 0.009379, 0.008661, -0.032037, 0.000659, 0.000471, -0.000384, 1.000000
350000000, 0.010930, 0.009481, -0.031688, 0.000675, 0.000427, -0.000392, 1.000000
360000000, 0.012514, 0.010378, -0.031276, 0.000692, 0.000381, -0.000405, 1.000000
370000000, 0.014131, 0.011357, -0.030794, 0.000710, 0.000334, -0.000422, 1.000000
380000000, 0.015778, 0.012419, -0.030240, 0.000729, 0.000286, -0.000444, 1.000000
390000000, 0.017452, 0.013568, -0.029607, 0.000749, 0.000238, -0.000470, 1.000000
400000000, 0.019153, 0.014806, -0.028891, 0.000770, 0.000191, -0.000501, 1.000000
410000000, 0.020877, 0.016132, -0.028087, 0.000791, 0.000144, -0.000536, 1.000000
420000000, 0.022625, 0.017548, -0.027192, 0.000813, 0.000097, -0.000576, 0.999999
430000000, 0.024393, 0.019053, -0.026200, 0.000835, 0.000052, -0.000620, 0.999999
440000000, 0.026180, 0.020645, -0.025108, 0.000857, 0.000009, -0.000668, 0.999999
450000000, 0.027984, 0.022322, -0.023915, 0.000880, -0.000033, -0.000719, 0.999999
460000000, 0.029804, 0.024081, -0.022616, 0.000902, -0.000072, -0.000773, 0.999999
470000000, 0.031636, 0.025917, -0.021211, 0.000923, -0.000108, -0.000830, 0.999999
480000000, 0.033480, 0.027826, -0.019698, 0.000943, -0.000142, -0.000890, 0.999999
490000000, 0.035333, 0.029803, -0.018078, 0.000963, -0.000173, -0.000951, 0.999999
500000000, 0.037192, 0.031840, -0.016352, 0.000980, -0.000200, -0.001014, 0.999999
510000000, 0.039055, 0.033933, -0.014521, 0.000997, -0.000224, -0.001078, 0.999999
520000000, 0.040923, 0.036076, -0.012589, 0.001011, -0.000244, -0.001142, 0.999999
530000000, 0.042796, 0.038265, -0.010558, 0.001023, -0.000260, -0.001205, 0.999999
540000000, 0.044674, 0.040494, -0.008435, 0.001032, -0.000273, -0.001268, 0.999999
550000000, 0.046556, 0.042759, -0.006224, 0.001039, -0.000281, -0.001329, 0.999999
560000000, 0.048443, 0.045054, -0.003933, 0.001043, -0.000286, -0.001388, 0.999998
570000000, 0.050334, 0.047372, -0.001570, 0.001044, -0.000287, -0.001444, 0.999998
580000000, 0.052229, 0.049708, 0.000857, 0.001042, -0.000284, -0.001497, 0.999998
590000000, 0.054125, 0.052056, 0.003338, 0.001037, -0.000278, -0.001547, 0.999998
600000000, 0.056022, 0.054410, 0.005863, 0.001029, -0.000269, -0.001591, 0.999998
610000000, 0.057918, 0.056763, 0.008420, 0.001017, -0.000256, -0.001631, 0.999998
620000000, 0.059813, 0.059110, 0.010998, 0.001003, -0.000240, -0.001666, 0.999998
630000000, 0.061703, 0.061446, 0.013585, 0.000985, -0.000222, -0.001694, 0.999998
640000000, 0.063588, 0.063764, 0.016168, 0.000965, -0.000202, -0.001717, 0.999998
650000000, 0.065465, 0.066061, 0.018734, 0.000942, -0.000180, -0.001733, 0.999998
660000000, 0.067332, 0.068332, 0.021271, 0.000916, -0.000157, -0.001743, 0.999998
670000000, 0.069189, 0.070572, 0.023765, 0.000889, -0.000133, -0.001745, 0.999998
680000000, 0.071032, 0.072780, 0.026204, 0.000859, -0.000108, -0.001741, 0.999998
690000000, 0.072860, 0.074951, 0.028575, 0.000828, -0.000083, -0.001729, 0.999998
700000000, 0.074672, 0.077083, 0.030866, 0.000796, -0.000059, -0.001710, 0.999998
710000000, 0.076467, 0.079176, 0.033065, 0.000764, -0.000035, -0.001684, 0.999998
720000000, 0.078244, 0.081228, 0.035162, 0.000731, -0.000013, -0.001651, 0.999998
730000000, 0.080002, 0.083240, 0.037146, 0.000698, 0.000007, -0.001612, 0.999998
740000000, 0.081740, 0.085210, 0.039009, 0.000666, 0.000026, -0.001565, 0.999999
750000000, 0.083458, 0.087140, 0.040741, 0.000635, 0.000042, -0.001513, 0.999999
760000000, 0.085158, 0.089033, 0.042336, 0.000605, 0.000055, -0.001454, 0.999999
770000000, 0.086838, 0.090889, 0.043788, 0.000577, 0.000065, -0.001390, 0.999999
780000000, 0.088502, 0.092711, 0.045091, 0.000552, 0.000071, -0.001321, 0.999999
790000000, 0.090150, 0.094503, 0.046242, 0.000529, 0.000073, -0.001247, 0.999999
800000000, 0.091783, 0.096267, 0.047239, 0.000509, 0.000072, -0.001169, 0.999999
810000000, 0.093405, 0.098008, 0.048080, 0.000493, 0.000066, -0.001088, 0.999999
820000000, 0.095017, 0.099730, 0.048766, 0.000480, 0.000055, -0.001003, 0.999999
830000000, 0.096623, 0.101436, 0.049298, 0.000471, 0.000041, -0.000916, 0.999999
840000000, 0.098226, 0.103131, 0.049678, 0.000466, 0.000022, -0.000827, 1.000000
850000000, 0.099829, 0.104820, 0.049910, 0.000465, -0.000002, -0.000737, 1.000000
860000000, 0.101436, 0.106506, 0.050000, 0.000469, -0.000030, -0.000646, 1.000000
870000000, 0.103050, 0.108195, 0.049952, 0.000476, -0.000063, -0.000555, 1.000000
