# timestamp, x, y, z, qx, qy, qz, qw
0, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 0.000000, 1.000000
10000000, 0.000002, 0.001831, -0.000265, -0.000030, 0.000020, -0.000007, 1.000000
20000000, 0.000012, 0.003673, -0.000456, -0.000056, 0.000038, -0.000015, 1.000000
30000000, 0.000037, 0.005503, -0.000560, -0.000080, 0.000053, -0.000023, 1.000000
40000000, 0.000087, 0.007300, -0.000563, -0.000100, 0.000065, -0.000032, 1.000000
50000000, 0.000167, 0.009046, -0.000453, -0.000118, 0.000075, -0.000042, 1.000000
60000000, 0.000286, 0.010725, -0.000221, -0.000133, 0.000082, -0.000052, 1.000000
70000000, 0.000451, 0.012326, 0.000140, -0.000146, 0.000086, -0.000063, 1.000000
80000000, 0.000670, 0.013840, 0.000634, -0.000156, 0.000087, -0.000075, 1.000000
90000000, 0.000950, 0.015262, 0.001264, -0.000165, 0.000087, -0.000088, 1.000000
100000000, 0.001296, 0.016591, 0.002031, -0.000172, 0.000084, -0.000102, 1.000000
110000000, 0.001717, 0.017830, 0.002930, -0.000178, 0.000081, -0.000116, 1.000000
120000000, 0.002217, 0.018985, 0.003959, -0.000184, 0.000076, -0.000131, 1.000000
130000000, 0.002804, 0.020066, 0.005109, -0.000189, 0.000070, -0.000147, 1.000000
140000000, 0.003482, 0.021086, 0.006373, -0.000195, 0.000065, -0.000163, 1.000000
150000000, 0.004257, 0.022062, 0.007740, -0.000201, 0.000060, -0.000180, 1.000000
160000000, 0.005133, 0.023012, 0.009199, -0.000209, 0.000056, -0.000197, 1.000000
170000000, 0.006115, 0.023958, 0.010736, -0.000218, 0.000054, -0.000213, 1.000000
180000000, 0.007208, 0.024922, 0.012338, -0.000229, 0.000053, -0.000230, 1.000000
190000000, 0.008414, 0.025928, 0.013990, -0.000243, 0.000056, -0.000245, 1.000000
200000000, 0.009737, 0.027002, 0.015678, -0.000259, 0.000061, -0.000260, 1.000000
210000000, 0.011179, 0.028169, 0.017386, -0.000279, 0.000069, -0.000274, 1.000000
220000000, 0.012743, 0.029453, 0.019100, -0.000301, 0.000081, -0.000285, 1.000000
230000000, 0.014430, 0.030879, 0.020806, -0.000327, 0.000097, -0.000295, 1.000000
240000000, 0.016242, 0.032467, 0.022490, -0.000356, 0.000116, -0.000302, 1.000000
250000000, 0.018179, 0.032869, 0.023173, -0.000373, 0.000133, -0.000294, 1.000000
260000000, 0.020242, 0.033425, 0.023762, -0.000392, 0.000152, -0.000283, 1.000000
270000000, 0.022430, 0.034130, 0.024257, -0.000412, 0.000173, -0.000270, 1.000000
280000000, 0.024743, 0.034977, 0.024661, -0.000433, 0.000194, -0.000253, 1.000000
290000000, 0.027179, 0.035955, 0.024977, -0.000454, 0.000216, -0.000234, 1.000000
300000000, 0.029737, 0.037054, 0.025209, -0.000476, 0.000238, -0.000212, 1.000000
310000000, 0.032414, 0.038258, 0.025363, -0.000498, 0.000259, -0.000187, 1.000000
320000000, 0.035208, 0.039552, 0.025443, -0.000519, 0.000278, -0.000158, 1.000000
330000000, 0.038115, 0.040917, 0.025455, -0.000539, 0.000296, -0.000127, 1.000000
340000000, 0.041133, 0.042335, 0.025405, -0.000558, 0.000311, -0.000093, 1.000000
350000000, 0.044257, 0.043784, 0.025300, -0.000575, 0.000324, -0.000057, 1.000000
360000000, 0.047482, 0.045243, 0.025144, -0.000591, 0.000333, -0.000018, 1.000000
370000000, 0.050804, 0.046689, 0.024945, -0.000604, 0.000338, 0.000024, 1.000000
380000000, 0.054217, 0.048101, 0.024706, -0.000615, 0.000338, 0.000067, 1.000000
390000000, 0.057717, 0.049456, 0.024435, -0.000623, 0.000334, 0.000112, 1.000000
400000000, 0.061296, 0.050732, 0.024135, -0.000628, 0.000325, 0.000159, 1.000000
410000000, 0.064950, 0.051906, 0.023811, -0.000630, 0.000311, 0.000208, 1.000000
420000000, 0.068670, 0.052958, 0.023466, -0.000629, 0.000291, 0.000257, 1.000000
430000000, 0.072451, 0.053870, 0.023102, -0.000624, 0.000266, 0.000307, 1.000000
440000000, 0.076286, 0.054622, 0.022722, -0.000616, 0.000234, 0.000357, 1.000000
450000000, 0.080167, 0.055200, 0.022327, -0.000604, 0.000198, 0.000407, 1.000000
460000000, 0.084087, 0.055589, 0.021917, -0.000589, 0.000156, 0.000457, 1.000000
470000000, 0.088037, 0.055777, 0.021491, -0.000571, 0.000108, 0.000506, 1.000000
480000000, 0.092012, 0.055755, 0.021049, -0.000549, 0.000056, 0.000555, 1.000000
490000000, 0.096002, 0.055516, 0.020588, -0.000523, -0.000002, 0.000602, 1.000000
500000000, 0.100000, 0.055057, 0.020105, -0.000495, -0.000063, 0.000647, 1.000000
510000000, 0.104000, 0.054377, 0.019597, -0.000463, -0.000129, 0.000691, 1.000000
