# timestamp, x, y, z, qx, qy, qz, qw
0, 0.000000, -0.000000, 0.000000, -0.000000, 0.000000, -0.000000, 1.000000
10000000, 0.000001, -0.000534, 0.000779, -0.000040, -0.000025, -0.000001, 1.000000
20000000, 0.000007, -0.000941, 0.001620, -0.000078, -0.000048, 0.000001, 1.000000
30000000, 0.000023, -0.001220, 0.002505, -0.000114, -0.000069, 0.000004, 1.000000
40000000, 0.000054, -0.001372, 0.003412, -0.000148, -0.000088, 0.000009, 1.000000
50000000, 0.000104, -0.001399, 0.004318, -0.000178, -0.000105, 0.000017, 1.000000
60000000, 0.000179, -0.001306, 0.005199, -0.000206, -0.000120, 0.000027, 1.000000
70000000, 0.000282, -0.001095, 0.006032, -0.000231, -0.000132, 0.000040, 1.000000
80000000, 0.000419, -0.000772, 0.006792, -0.000251, -0.000141, 0.000057, 1.000000
90000000, 0.000594, -0.000343, 0.007456, -0.000268, -0.000148, 0.000077, 1.000000
100000000, 0.000810, 0.000188, 0.008000, -0.000280, -0.000153, 0.000100, 1.000000
110000000, 0.001073, 0.000814, 0.008404, -0.000287, -0.000156, 0.000128, 1.000000
120000000, 0.001386, 0.001530, 0.008648, -0.000290, -0.000156, 0.000159, 1.000000
130000000, 0.001752, 0.002330, 0.008716, -0.000287, -0.000155, 0.000194, 1.000000
140000000, 0.002176, 0.003210, 0.008593, -0.000279, -0.000152, 0.000234, 1.000000
150000000, 0.002660, 0.004165, 0.008269, -0.000265, -0.000148, 0.000278, 1.000000
160000000, 0.003208, 0.005193, 0.007736, -0.000245, -0.000143, 0.000327, 1.000000
170000000, 0.003822, 0.006289, 0.006991, -0.000219, -0.000137, 0.000380, 1.000000
180000000, 0.004505, 0.007454, 0.006034, -0.000188, -0.000132, 0.000437, 1.000000
190000000, 0.005259, 0.008685, 0.004870, -0.000150, -0.000127, 0.000500, 1.000000
200000000, 0.006086, 0.009985, 0.003507, -0.000107, -0.000122, 0.000567, 1.000000
210000000, 0.006987, 0.011355, 0.001958, -0.000058, -0.000119, 0.000639, 1.000000
220000000, 0.007964, 0.012798, 0.000238, -0.000003, -0.000116, 0.000716, 1.000000
230000000, 0.009019, 0.014318, -0.001631, 0.000057, -0.000116, 0.000797, 1.000000
240000000, 0.010151, 0.015920, -0.003627, 0.000121, -0.000117, 0.000883, 1.000000
250000000, 0.011362, 0.016906, -0.005493, 0.000183, -0.000116, 0.000935, 1.000000
260000000, 0.012651, 0.017902, -0.007281, 0.000244, -0.000116, 0.000986, 0.999999
