# timestamp, x, y, z, qx, qy, qz, qw
0, 0.000000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 1.000000
10000000, 0.000258, 0.001033, 0.000832, -0.000193, 0.000859, 0.000001, 1.000000
20000000, 0.000444, 0.002149, 0.001667, -0.000280, 0.001637, 0.000005, 0.999999
30000000, 0.000554, 0.003345, 0.002498, -0.000254, 0.002329, 0.000015, 0.999997
40000000, 0.000583, 0.004619, 0.003319, -0.000107, 0.002934, 0.000033, 0.999996
50000000, 0.000528, 0.005967, 0.004126, 0.000164, 0.003449, 0.000062, 0.999994
60000000, 0.000385, 0.007387, 0.004914, 0.000563, 0.003873, 0.000105, 0.999992
70000000, 0.000148, 0.008874, 0.005680, 0.001090, 0.004207, 0.000165, 0.999991
80000000, -0.000185, 0.010425, 0.006422, 0.001744, 0.004452, 0.000244, 0.999989
90000000, -0.000619, 0.012035, 0.007137, 0.002521, 0.004609, 0.000345, 0.999986
100000000, -0.001156, 0.013700, 0.007826, 0.003417, 0.004683, 0.000470, 0.999983
110000000, -0.001798, 0.015414, 0.008487, 0.004425, 0.004677, 0.000623, 0.999979
120000000, -0.002548, 0.017174, 0.009120, 0.005536, 0.004598, 0.000806, 0.999974
130000000, -0.003406, 0.018973, 0.009728, 0.006739, 0.004451, 0.001021, 0.999967
140000000, -0.004372, 0.020807, 0.010309, 0.008023, 0.004246, 0.001272, 0.999958
150000000, -0.005443, 0.022670, 0.010865, 0.009375, 0.003991, 0.001559, 0.999947
160000000, -0.006619, 0.024557, 0.011398, 0.010781, 0.003696, 0.001885, 0.999933
170000000, -0.007895, 0.026461, 0.011907, 0.012226, 0.003372, 0.002252, 0.999917
180000000, -0.009266, 0.028377, 0.012394, 0.013694, 0.003032, 0.002662, 0.999898
190000000, -0.010726, 0.030298, 0.012858, 0.015170, 0.002687, 0.003115, 0.999876
200000000, -0.012269, 0.032217, 0.013301, 0.016638, 0.002352, 0.003613, 0.999852
210000000, -0.013887, 0.034129, 0.013720, 0.018083, 0.002039, 0.004156, 0.999826
220000000, -0.015569, 0.036025, 0.014116, 0.019489, 0.001763, 0.004745, 0.999797
230000000, -0.017307, 0.037899, 0.014486, 0.020844, 0.001537, 0.005380, 0.999767
240000000, -0.019088, 0.039741, 0.014828, 0.022133, 0.001375, 0.006062, 0.999736
250000000, -0.020067, 0.039883, 0.014535, 0.022412, 0.001239, 0.006791, 0.999725
260000000, -0.020990, 0.039970, 0.014232, 0.022590, 0.001196, 0.007566, 0.999715
270000000, -0.021852, 0.040000, 0.013918, 0.022670, 0.001246, 0.008385, 0.999707
280000000, -0.022649, 0.039970, 0.013591, 0.022658, 0.001389, 0.009249, 0.999700
290000000, -0.023378, 0.039879, 0.013248, 0.022559, 0.001622, 0.010158, 0.999693
