# timestamp, x, y, z, qx, qy, qz, qw
0, -0.000000, 0.000000, -0.000000, 0.000000, -0.000000, 0.000000, 1.000000
10000000, -0.000808, 0.000615, -0.000382, -0.000104, -0.000132, 0.000000, 1.000000
20000000, -0.001655, 0.001174, -0.000729, -0.000202, -0.000247, 0.000001, 1.000000
30000000, -0.002536, 0.001677, -0.001040, -0.000295, -0.000344, 0.000004, 1.000000
40000000, -0.003450, 0.002118, -0.001311, -0.000385, -0.000426, 0.000008, 1.000000
50000000, -0.004397, 0.002494, -0.001545, -0.000471, -0.000493, 0.000016, 1.000000
60000000, -0.005378, 0.002798, -0.001744, -0.000556, -0.000546, 0.000028, 1.000000
70000000, -0.006395, 0.003021, -0.001909, -0.000640, -0.000589, 0.000045, 1.000000
80000000, -0.007454, 0.003156, -0.002047, -0.000724, -0.000623, 0.000067, 1.000000
90000000, -0.008557, 0.003193, -0.002162, -0.000808, -0.000650, 0.000094, 0.999999
100000000, -0.009712, 0.003122, -0.002263, -0.000894, -0.000672, 0.000129, 0.999999
110000000, -0.010924, 0.002932, -0.002357, -0.000982, -0.000690, 0.000171, 0.999999
120000000, -0.012201, 0.002613, -0.002454, -0.001072, -0.000708, 0.000221, 0.999999
130000000, -0.013547, 0.002154, -0.002562, -0.001166, -0.000726, 0.000280, 0.999999
140000000, -0.014971, 0.001547, -0.002692, -0.001263, -0.000747, 0.000347, 0.999999
150000000, -0.016477, 0.000783, -0.002853, -0.001363, -0.000771, 0.000425, 0.999999
160000000, -0.018071, -0.000146, -0.003056, -0.001466, -0.000799, 0.000512, 0.999998
170000000, -0.019756, -0.001244, -0.003311, -0.001572, -0.000832, 0.000610, 0.999998
180000000, -0.021534, -0.002515, -0.003627, -0.001680, -0.000871, 0.000719, 0.999998
190000000, -0.023407, -0.003960, -0.004011, -0.001790, -0.000915, 0.000840, 0.999998
200000000, -0.025371, -0.005580, -0.004473, -0.001900, -0.000964, 0.000972, 0.999997
210000000, -0.027425, -0.007369, -0.005019, -0.002009, -0.001017, 0.001116, 0.999997
220000000, -0.029562, -0.009323, -0.005653, -0.002117, -0.001072, 0.001272, 0.999996
230000000, -0.031775, -0.011432, -0.006380, -0.002222, -0.001129, 0.001441, 0.999996
240000000, -0.034053, -0.013685, -0.007201, -0.002323, -0.001186, 0.001621, 0.999995
250000000, -0.034928, -0.015427, -0.007793, -0.002320, -0.001191, 0.001815, 0.999995
260000000, -0.035770, -0.017139, -0.008427, -0.002311, -0.001192, 0.002021, 0.999995
270000000, -0.036568, -0.018810, -0.009095, -0.002294, -0.001187, 0.002240, 0.999994
280000000, -0.037309, -0.020425, -0.009790, -0.002269, -0.001176, 0.002472, 0.999994
290000000, -0.037983, -0.021972, -0.010504, -0.002235, -0.001156, 0.002715, 0.999993
300000000, -0.038577, -0.023439, -0.011228, -0.002193, -0.001127, 0.002971, 0.999993
310000000, -0.039080, -0.024815, -0.011953, -0.002141, -0.001088, 0.003239, 0.999992
320000000, -0.039484, -0.026088, -0.012673, -0.002081, -0.001039, 0.003519, 0.999991
330000000, -0.039777, -0.027250, -0.013377, -0.002012, -0.000981, 0.003810, 0.999990
340000000, -0.039951, -0.028292, -0.014059, -0.001934, -0.000913, 0.004112, 0.999989
350000000, -0.040000, -0.029209, -0.014709, -0.001848, -0.000836, 0.004424, 0.999988
360000000, -0.039917, -0.029995, -0.015321, -0.001755, -0.000751, 0.004747, 0.999987
370000000, -0.039697, -0.030647, -0.015887, -0.001655, -0.000658, 0.005079, 0.999986
380000000, -0.039338, -0.031163, -0.016401, -0.001549, -0.000560, 0.005421, 0.999984
390000000, -0.038837, -0.031544, -0.016858, -0.001439, -0.000457, 0.005771, 0.999982
400000000, -0.038195, -0.031792, -0.017252, -0.001326, -0.000352, 0.006129, 0.999980
410000000, -0.037413, -0.031911, -0.017579, -0.001210, -0.000248, 0.006495, 0.999978
420000000, -0.036494, -0.031906, -0.017836, -0.001094, -0.000145, 0.006867, 0.999976
430000000, -0.035444, -0.031785, -0.018019, -0.000978, -0.000046, 0.007245, 0.999973
440000000, -0.034269, -0.031556, -0.018128, -0.000865, 0.000045, 0.007629, 0.999971
450000000, -0.032977, -0.031229, -0.018162, -0.000755, 0.000127, 0.008017, 0.999968
460000000, -0.031577, -0.030817, -0.018120, -0.000651, 0.000196, 0.008409, 0.999964
470000000, -0.030080, -0.030332, -0.018004, -0.000554, 0.000252, 0.008804, 0.999961
480000000, -0.028498, -0.029788, -0.017814, -0.000466, 0.000290, 0.009201, 0.999958
490000000, -0.026844, -0.029198, -0.017555, -0.000388, 0.000309, 0.009600, 0.999954
500000000, -0.025132, -0.028579, -0.017228, -0.000321, 0.000306, 0.010000, 0.999950
510000000, -0.023377, -0.027944, -0.016839, -0.000266, 0.000279, 0.010400, 0.999946
520000000, -0.021593, -0.027309, -0.016391, -0.000226, 0.000228, 0.010800, 0.999942
530000000, -0.019796, -0.026689, -0.015889, -0.000201, 0.000149, 0.011200, 0.999937
540000000, -0.018001, -0.026098, -0.015339, -0.000192, 0.000043, 0.011600, 0.999933
550000000, -0.016224, -0.025551, -0.014746, -0.000200, -0.000092, 0.012000, 0.999928
560000000, -0.014480, -0.025061, -0.014117, -0.000225, -0.000256, 0.012400, 0.999923
570000000, -0.012784, -0.024638, -0.013458, -0.000268, -0.000449, 0.012800, 0.999918
580000000, -0.011149, -0.024295, -0.012775, -0.000329, -0.000671, 0.013199, 0.999913
590000000, -0.009588, -0.024040, -0.012074, -0.000408, -0.000922, 0.013599, 0.999907
600000000, -0.008114, -0.023880, -0.011361, -0.000504, -0.001199, 0.013999, 0.999901
610000000, -0.006738, -0.023822, -0.010642, -0.000617, -0.001502, 0.014399, 0.999895
620000000, -0.005468, -0.023870, -0.009923, -0.000747, -0.001828, 0.014798, 0.999889
630000000, -0.004314, -0.024025, -0.009208, -0.000892, -0.002175, 0.015197, 0.999882
640000000, -0.003280, -0.024288, -0.008504, -0.001052, -0.002541, 0.015597, 0.999875
650000000, -0.002373, -0.024657, -0.007813, -0.001224, -0.002923, 0.015996, 0.999867
660000000, -0.001595, -0.025129, -0.007140, -0.001409, -0.003316, 0.016394, 0.999859
670000000, -0.000947, -0.025697, -0.006487, -0.001603, -0.003718, 0.016793, 0.999851
680000000, -0.000429, -0.026354, -0.005858, -0.001805, -0.004125, 0.017191, 0.999842
690000000, -0.000040, -0.027092, -0.005255, -0.002013, -0.004532, 0.017589, 0.999833
700000000, 0.000226, -0.027899, -0.004678, -0.002225, -0.004936, 0.017987, 0.999824
710000000, 0.000372, -0.028763, -0.004128, -0.002438, -0.005333, 0.018385, 0.999814
720000000, 0.000407, -0.029672, -0.003605, -0.002652, -0.005717, 0.018783, 0.999804
730000000, 0.000339, -0.030610, -0.003110, -0.002862, -0.006086, 0.019180, 0.999793
740000000, 0.000177, -0.031562, -0.002640, -0.003068, -0.006435, 0.019578, 0.999783
