# timestamp, x, y, z, qx, qy, qz, qw
0, -0.000000, 0.000000, -0.000000, -0.000000, 0.000000, 0.000000, 1.000000
10000000, -0.001482, 0.000230, -0.000318, -0.000113, 0.000050, 0.000000, 1.000000
20000000, -0.002892, 0.000466, -0.000662, -0.000250, 0.000075, 0.000003, 1.000000
30000000, -0.004217, 0.000706, -0.001024, -0.000417, 0.000073, 0.000009, 1.000000
40000000, -0.005448, 0.000949, -0.001402, -0.000616, 0.000043, 0.000022, 1.000000
50000000, -0.006576, 0.001193, -0.001789, -0.000853, -0.000018, 0.000042, 1.000000
60000000, -0.007590, 0.001441, -0.002183, -0.001129, -0.000111, 0.000071, 0.999999
70000000, -0.008481, 0.001694, -0.002579, -0.001450, -0.000237, 0.000113, 0.999999
80000000, -0.009242, 0.001956, -0.002977, -0.001818, -0.000398, 0.000167, 0.999998
90000000, -0.009863, 0.002231, -0.003373, -0.002237, -0.000595, 0.000236, 0.999997
100000000, -0.010339, 0.002522, -0.003768, -0.002709, -0.000829, 0.000322, 0.999996
110000000, -0.010664, 0.002836, -0.004162, -0.003237, -0.001101, 0.000426, 0.999994
120000000, -0.010831, 0.003176, -0.004555, -0.003824, -0.001411, 0.000549, 0.999992
130000000, -0.010838, 0.003549, -0.004949, -0.004470, -0.001760, 0.000693, 0.999988
140000000, -0.010683, 0.003960, -0.005346, -0.005176, -0.002148, 0.000859, 0.999984
150000000, -0.010363, 0.004412, -0.005751, -0.005942, -0.002575, 0.001049, 0.999978
160000000, -0.009880, 0.004910, -0.006166, -0.006768, -0.003041, 0.001263, 0.999972
170000000, -0.009236, 0.005458, -0.006596, -0.007651, -0.003547, 0.001502, 0.999963
180000000, -0.008434, 0.006058, -0.007045, -0.008590, -0.004092, 0.001767, 0.999953
190000000, -0.007479, 0.006711, -0.007520, -0.009579, -0.004675, 0.002059, 0.999941
200000000, -0.006378, 0.007417, -0.008024, -0.010615, -0.005298, 0.002378, 0.999927
210000000, -0.005139, 0.008176, -0.008564, -0.011692, -0.005958, 0.002725, 0.999910
220000000, -0.003772, 0.008986, -0.009143, -0.012803, -0.006658, 0.003101, 0.999891
230000000, -0.002289, 0.009843, -0.009768, -0.013939, -0.007395, 0.003505, 0.999869
240000000, -0.000702, 0.010743, -0.010443, -0.015092, -0.008169, 0.003937, 0.999845
250000000, 0.000936, 0.011213, -0.010724, -0.015602, -0.008622, 0.004410, 0.999831
260000000, 0.002517, 0.011674, -0.011035, -0.016069, -0.009074, 0.004915, 0.999818
270000000, 0.004032, 0.012122, -0.011375, -0.016488, -0.009525, 0.005451, 0.999804
280000000, 0.005475, 0.012550, -0.011743, -0.016852, -0.009975, 0.006018, 0.999790
290000000, 0.006837, 0.012953, -0.012136, -0.017158, -0.010423, 0.006616, 0.999777
300000000, 0.008113, 0.013326, -0.012550, -0.017400, -0.010870, 0.007245, 0.999763
310000000, 0.009296, 0.013665, -0.012982, -0.017574, -0.011313, 0.007904, 0.999750
320000000, 0.010381, 0.013965, -0.013429, -0.017677, -0.011754, 0.008594, 0.999738
330000000, 0.011364, 0.014223, -0.013886, -0.017705, -0.012190, 0.009312, 0.999726
