# timestamp, x, y, z, qx, qy, qz, qw
0, 0.000000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 1.000000
10000000, 0.001247, 0.000547, 0.000001, -0.000012, 0.000024, 0.000012, 1.000000
20000000, 0.002629, 0.001176, 0.000007, -0.000023, 0.000051, 0.000029, 1.000000
30000000, 0.004139, 0.001887, 0.000023, -0.000033, 0.000078, 0.000052, 1.000000
40000000, 0.005769, 0.002678, 0.000054, -0.000041, 0.000106, 0.000079, 1.000000
50000000, 0.007510, 0.003549, 0.000104, -0.000049, 0.000133, 0.000111, 1.000000
60000000, 0.009349, 0.004497, 0.000179, -0.000057, 0.000161, 0.000147, 1.000000
70000000, 0.011273, 0.005520, 0.000282, -0.000066, 0.000187, 0.000186, 1.000000
80000000, 0.013269, 0.006615, 0.000419, -0.000075, 0.000212, 0.000229, 1.000000
90000000, 0.015320, 0.007778, 0.000594, -0.000085, 0.000235, 0.000275, 1.000000
100000000, 0.017409, 0.009005, 0.000810, -0.000097, 0.000256, 0.000324, 1.000000
110000000, 0.019519, 0.010291, 0.001073, -0.000111, 0.000275, 0.000374, 1.000000
120000000, 0.021629, 0.011632, 0.001386, -0.000128, 0.000292, 0.000426, 1.000000
130000000, 0.023720, 0.013022, 0.001752, -0.000148, 0.000307, 0.000479, 1.000000
140000000, 0.025773, 0.014455, 0.002176, -0.000172, 0.000319, 0.000532, 1.000000
150000000, 0.027767, 0.015925, 0.002660, -0.000199, 0.000330, 0.000585, 1.000000
160000000, 0.029682, 0.017426, 0.003208, -0.000230, 0.000340, 0.000637, 1.000000
170000000, 0.031500, 0.018951, 0.003822, -0.000266, 0.000348, 0.000689, 1.000000
180000000, 0.033200, 0.020494, 0.004505, -0.000307, 0.000356, 0.000740, 1.000000
190000000, 0.034765, 0.022046, 0.005259, -0.000353, 0.000365, 0.000789, 1.000000
200000000, 0.036178, 0.023601, 0.006086, -0.000403, 0.000373, 0.000836, 0.999999
210000000, 0.037425, 0.025151, 0.006987, -0.000458, 0.000384, 0.000882, 0.999999
220000000, 0.038492, 0.026688, 0.007964, -0.000518, 0.000396, 0.000927, 0.999999
230000000, 0.039368, 0.028206, 0.009019, -0.000582, 0.000411, 0.000970, 0.999999
