# timestamp, x, y, z, qx, qy, qz, qw
0, 0.000000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 1.000000
10000000, 0.000224, 0.000202, 0.000000, -0.000004, 0.000021, 0.000027, 1.000000
20000000, 0.000456, 0.000363, 0.000001, -0.000005, 0.000043, 0.000060, 1.000000
30000000, 0.000695, 0.000480, 0.000005, -0.000005, 0.000065, 0.000099, 1.000000
40000000, 0.000942, 0.000551, 0.000011, -0.000003, 0.000088, 0.000146, 1.000000
50000000, 0.001199, 0.000576, 0.000021, 0.000000, 0.000111, 0.000199, 1.000000
60000000, 0.001464, 0.000553, 0.000036, 0.000005, 0.000133, 0.000258, 1.000000
70000000, 0.001739, 0.000484, 0.000056, 0.000010, 0.000154, 0.000324, 1.000000
80000000, 0.002024, 0.000369, 0.000084, 0.000015, 0.000175, 0.000395, 1.000000
90000000, 0.002317, 0.000211, 0.000119, 0.000021, 0.000195, 0.000472, 1.000000
100000000, 0.002619, 0.000012, 0.000162, 0.000025, 0.000213, 0.000553, 1.000000
110000000, 0.002929, -0.000225, 0.000215, 0.000028, 0.000229, 0.000639, 1.000000
120000000, 0.003245, -0.000497, 0.000277, 0.000028, 0.000243, 0.000728, 1.000000
130000000, 0.003566, -0.000798, 0.000350, 0.000026, 0.000254, 0.000819, 1.000000
140000000, 0.003891, -0.001125, 0.000435, 0.000020, 0.000262, 0.000913, 1.000000
150000000, 0.004216, -0.001473, 0.000532, 0.000010, 0.000266, 0.001007, 0.999999
160000000, 0.004540, -0.001837, 0.000642, -0.000005, 0.000267, 0.001100, 0.999999
170000000, 0.004860, -0.002211, 0.000764, -0.000025, 0.000264, 0.001193, 0.999999
180000000, 0.005173, -0.002592, 0.000901, -0.000051, 0.000257, 0.001282, 0.999999
190000000, 0.005475, -0.002974, 0.001052, -0.000083, 0.000245, 0.001369, 0.999999
200000000, 0.005762, -0.003353, 0.001217, -0.000122, 0.000229, 0.001451, 0.999999
210000000, 0.006031, -0.003724, 0.001397, -0.000168, 0.000208, 0.001527, 0.999999
220000000, 0.006277, -0.004084, 0.001593, -0.000222, 0.000182, 0.001597, 0.999999
230000000, 0.006497, -0.004429, 0.001804, -0.000282, 0.000151, 0.001659, 0.999999
240000000, 0.006685, -0.004758, 0.002030, -0.000350, 0.000115, 0.001713, 0.999998
250000000, 0.006564, -0.004865, 0.002272, -0.000408, 0.000071, 0.001688, 0.999998
260000000, 0.006414, -0.004945, 0.002530, -0.000468, 0.000025, 0.001655, 0.999999
270000000, 0.006236, -0.005001, 0.002804, -0.000530, -0.000021, 0.001615, 0.999999
280000000, 0.006029, -0.005036, 0.003093, -0.000592, -0.000067, 0.001569, 0.999999
290000000, 0.005791, -0.005053, 0.003397, -0.000655, -0.000114, 0.001517, 0.999999
300000000, 0.005523, -0.005054, 0.003717, -0.000718, -0.000162, 0.001459, 0.999999
310000000, 0.005226, -0.005044, 0.004052, -0.000780, -0.000209, 0.001396, 0.999999
320000000, 0.004899, -0.005026, 0.004401, -0.000840, -0.000256, 0.001328, 0.999999
330000000, 0.004542, -0.005003, 0.004764, -0.000899, -0.000303, 0.001257, 0.999999
340000000, 0.004158, -0.004979, 0.005142, -0.000955, -0.000348, 0.001181, 0.999999
350000000, 0.003747, -0.004957, 0.005532, -0.001009, -0.000393, 0.001103, 0.999999
360000000, 0.003311, -0.004941, 0.005935, -0.001059, -0.000437, 0.001023, 0.999999
370000000, 0.002851, -0.004934, 0.006350, -0.001105, -0.000480, 0.000941, 0.999999
380000000, 0.002370, -0.004938, 0.006777, -0.001148, -0.000521, 0.000858, 0.999999
390000000, 0.001869, -0.004956, 0.007215, -0.001185, -0.000561, 0.000775, 0.999999
400000000, 0.001352, -0.004990, 0.007662, -0.001219, -0.000598, 0.000693, 0.999999
410000000, 0.000821, -0.005042, 0.008119, -0.001247, -0.000634, 0.000611, 0.999999
420000000, 0.000279, -0.005114, 0.008584, -0.001270, -0.000668, 0.000531, 0.999999
430000000, -0.000272, -0.005206, 0.009056, -0.001287, -0.000700, 0.000453, 0.999999
440000000, -0.000827, -0.005320, 0.009536, -0.001300, -0.000730, 0.000378, 0.999999
450000000, -0.001384, -0.005454, 0.010021, -0.001307, -0.000757, 0.000306, 0.999999
460000000, -0.001938, -0.005610, 0.010511, -0.001309, -0.000782, 0.000237, 0.999999
470000000, -0.002488, -0.005786, 0.011005, -0.001306, -0.000805, 0.000173, 0.999999
480000000, -0.003030, -0.005981, 0.011501, -0.001297, -0.000825, 0.000112, 0.999999
490000000, -0.003559, -0.006195, 0.012000, -0.001284, -0.000843, 0.000056, 0.999999
500000000, -0.004074, -0.006424, 0.012500, -0.001267, -0.000858, 0.000005, 0.999999
510000000, -0.004571, -0.006667, 0.013000, -0.001245, -0.000871, -0.000042, 0.999999
520000000, -0.005046, -0.006921, 0.013500, -0.001220, -0.000882, -0.000084, 0.999999
530000000, -0.005498, -0.007184, 0.014000, -0.001191, -0.000890, -0.000121, 0.999999
540000000, -0.005923, -0.007452, 0.014500, -0.001159, -0.000896, -0.000154, 0.999999
550000000, -0.006320, -0.007722, 0.015000, -0.001124, -0.000899, -0.000181, 0.999999
560000000, -0.006686, -0.007991, 0.015500, -0.001088, -0.000900, -0.000204, 0.999999
570000000, -0.007020, -0.008256, 0.016000, -0.001049, -0.000899, -0.000223, 0.999999
580000000, -0.007320, -0.008513, 0.016500, -0.001009, -0.000895, -0.000238, 0.999999
590000000, -0.007585, -0.008759, 0.017000, -0.000968, -0.000889, -0.000248, 0.999999
600000000, -0.007815, -0.008990, 0.017500, -0.000927, -0.000882, -0.000255, 0.999999
610000000, -0.008009, -0.009204, 0.018000, -0.000886, -0.000872, -0.000259, 0.999999
620000000, -0.008166, -0.009397, 0.018500, -0.000845, -0.000860, -0.000261, 0.999999
630000000, -0.008289, -0.009568, 0.019000, -0.000806, -0.000847, -0.000259, 0.999999
640000000, -0.008377, -0.009712, 0.019500, -0.000767, -0.000832, -0.000256, 0.999999
650000000, -0.008431, -0.009830, 0.020000, -0.000730, -0.000815, -0.000250, 0.999999
660000000, -0.008453, -0.009917, 0.020500, -0.000694, -0.000797, -0.000244, 0.999999
670000000, -0.008444, -0.009974, 0.021000, -0.000661, -0.000777, -0.000236, 0.999999
680000000, -0.008407, -0.010000, 0.021500, -0.000629, -0.000756, -0.000228, 0.999999
690000000, -0.008345, -0.009994, 0.022000, -0.000601, -0.000734, -0.000219, 1.000000
700000000, -0.008259, -0.009955, 0.022500, -0.000574, -0.000712, -0.000211, 1.000000
710000000, -0.008152, -0.009884, 0.023000, -0.000551, -0.000688, -0.000202, 1.000000
720000000, -0.008028, -0.009783, 0.023500, -0.000530, -0.000663, -0.000195, 1.000000
730000000, -0.007889, -0.009652, 0.024000, -0.000511, -0.000638, -0.000187, 1.000000
740000000, -0.007740, -0.009493, 0.024500, -0.000495, -0.000613, -0.000181, 1.000000
750000000, -0.007582, -0.009307, 0.025000, -0.000482, -0.000588, -0.000176, 1.000000
760000000, -0.007421, -0.009097, 0.025500, -0.000471, -0.000562, -0.000172, 1.000000
770000000, -0.007258, -0.008867, 0.026000, -0.000463, -0.000536, -0.000170, 1.000000
780000000, -0.007097, -0.008617, 0.026500, -0.000456, -0.000511, -0.000168, 1.000000
790000000, -0.006942, -0.008353, 0.027000, -0.000451, -0.000486, -0.000168, 1.000000
800000000, -0.006795, -0.008076, 0.027500, -0.000448, -0.000462, -0.000169, 1.000000
810000000, -0.006659, -0.007791, 0.028000, -0.000447, -0.000438, -0.000172, 1.000000
820000000, -0.006538, -0.007500, 0.028500, -0.000447, -0.000415, -0.000175, 1.000000
830000000, -0.006432, -0.007208, 0.029000, -0.000447, -0.000393, -0.000180, 1.000000
840000000, -0.006345, -0.006918, 0.029500, -0.000449, -0.000373, -0.000185, 1.000000
850000000, -0.006279, -0.006632, 0.030000, -0.000451, -0.000353, -0.000191, 1.000000
860000000, -0.006234, -0.006355, 0.030500, -0.000453, -0.000335, -0.000197, 1.000000
870000000, -0.006212, -0.006089, 0.031000, -0.000455, -0.000318, -0.000203, 1.000000
880000000, -0.006215, -0.005836, 0.031500, -0.000456, -0.000303, -0.000210, 1.000000
890000000, -0.006241, -0.005600, 0.032000, -0.000458, -0.000290, -0.000217, 1.000000
900000000, -0.006291, -0.005383, 0.032500, -0.000458, -0.000278, -0.000223, 1.000000
910000000, -0.006366, -0.005185, 0.033000, -0.000458, -0.000268, -0.000228, 1.000000
920000000, -0.006464, -0.005010, 0.033500, -0.000457, -0.000260, -0.000233, 1.000000
930000000, -0.006584, -0.004856, 0.034000, -0.000455, -0.000253, -0.000237, 1.000000
940000000, -0.006725, -0.004725, 0.034500, -0.000452, -0.000249, -0.000240, 1.000000
950000000, -0.006886, -0.004618, 0.035000, -0.000448, -0.000246, -0.000242, 1.000000
960000000, -0.007063, -0.004532, 0.035500, -0.000442, -0.000245, -0.000243, 1.000000
970000000, -0.007256, -0.004469, 0.036000, -0.000435, -0.000246, -0.000242, 1.000000
980000000, -0.007461, -0.004426, 0.036500, -0.000427, -0.000248, -0.000240, 1.000000
990000000, -0.007676, -0.004402, 0.037000, -0.000419, -0.000252, -0.000236, 1.000000
1000000000, -0.007898, -0.004394, 0.037500, -0.000409, -0.000257, -0.000231, 1.000000
1010000000, -0.008123, -0.004400, 0.038000, -0.000398, -0.000264, -0.000225, 1.000000
1020000000, -0.008349, -0.004418, 0.038500, -0.000386, -0.000272, -0.000217, 1.000000
1030000000, -0.008573, -0.004445, 0.039000, -0.000374, -0.000281, -0.000208, 1.000000
1040000000, -0.008790, -0.004476, 0.039500, -0.000361, -0.000291, -0.000198, 1.000000
1050000000, -0.008999, -0.004509, 0.040000, -0.000348, -0.000302, -0.000187, 1.000000
1060000000, -0.009195, -0.004541, 0.040500, -0.000334, -0.000313, -0.000175, 1.000000
1070000000, -0.009377, -0.004567, 0.041000, -0.000321, -0.000325, -0.000163, 1.000000
1080000000, -0.009540, -0.004583, 0.041500, -0.000308, -0.000337, -0.000150, 1.000000
1090000000, -0.009682, -0.004587, 0.042000, -0.000295, -0.000350, -0.000137, 1.000000
1100000000, -0.009800, -0.004575, 0.042500, -0.000282, -0.000362, -0.000123, 1.000000
1110000000, -0.009894, -0.004542, 0.043000, -0.000270, -0.000374, -0.000110, 1.000000
1120000000, -0.009959, -0.004487, 0.043500, -0.000259, -0.000385, -0.000097, 1.000000
1130000000, -0.009995, -0.004406, 0.044000, -0.000248, -0.000396, -0.000085, 1.000000
1140000000, -0.010000, -0.004296, 0.044500, -0.000238, -0.000406, -0.000073, 1.000000
1150000000, -0.009973, -0.004155, 0.045000, -0.000230, -0.000416, -0.000062, 1.000000
1160000000, -0.009914, -0.003981, 0.045500, -0.000222, -0.000424, -0.000053, 1.000000
1170000000, -0.009821, -0.003774, 0.046000, -0.000215, -0.000431, -0.000044, 1.000000
1180000000, -0.009696, -0.003530, 0.046500, -0.000209, -0.000437, -0.000037, 1.000000
1190000000, -0.009537, -0.003251, 0.047000, -0.000204, -0.000442, -0.000031, 1.000000
1200000000, -0.009347, -0.002936, 0.047500, -0.000200, -0.000445, -0.000027, 1.000000
1210000000, -0.009125, -0.002585, 0.048000, -0.000197, -0.000447, -0.000024, 1.000000
1220000000, -0.008874, -0.002200, 0.048500, -0.000195, -0.000448, -0.000023, 1.000000
1230000000, -0.008594, -0.001781, 0.049000, -0.000193, -0.000447, -0.000024, 1.000000
1240000000, -0.008287, -0.001330, 0.049500, -0.000191, -0.000445, -0.000026, 1.000000
1250000000, -0.007957, -0.000850, 0.050000, -0.000190, -0.000441, -0.000030, 1.000000
