# timestamp, x, y, z, qx, qy, qz, qw
0, -0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000, 1.000000
10000000, -0.000102, 0.000205, 0.000001, 0.000036, 0.000019, -0.000022, 1.000000
20000000, -0.000204, 0.000409, 0.000004, 0.000070, 0.000036, -0.000043, 1.000000
30000000, -0.000298, 0.000615, 0.000011, 0.000103, 0.000053, -0.000064, 1.000000
40000000, -0.000376, 0.000826, 0.000026, 0.000134, 0.000070, -0.000085, 1.000000
50000000, -0.000432, 0.001045, 0.000050, 0.000164, 0.000086, -0.000106, 1.000000
60000000, -0.000458, 0.001274, 0.000086, 0.000191, 0.000102, -0.000128, 1.000000
70000000, -0.000449, 0.001514, 0.000135, 0.000217, 0.000118, -0.000150, 1.000000
80000000, -0.000399, 0.001767, 0.000201, 0.000239, 0.000134, -0.000172, 1.000000
90000000, -0.000302, 0.002031, 0.000285, 0.000260, 0.000151, -0.000195, 1.000000
100000000, -0.000156, 0.002306, 0.000389, 0.000277, 0.000169, -0.000217, 1.000000
110000000, 0.000045, 0.002588, 0.000515, 0.000292, 0.000187, -0.000240, 1.000000
120000000, 0.000301, 0.002875, 0.000665, 0.000305, 0.000207, -0.000262, 1.000000
130000000, 0.000614, 0.003162, 0.000841, 0.000314, 0.000228, -0.000285, 1.000000
140000000, 0.000986, 0.003444, 0.001045, 0.000321, 0.000250, -0.000306, 1.000000
150000000, 0.001415, 0.003715, 0.001277, 0.000325, 0.000273, -0.000326, 1.000000
160000000, 0.001901, 0.003967, 0.001540, 0.000326, 0.000297, -0.000345, 1.000000
170000000, 0.002441, 0.004194, 0.001835, 0.000324, 0.000323, -0.000362, 1.000000
180000000, 0.003034, 0.004388, 0.002162, 0.000320, 0.000349, -0.000377, 1.000000
190000000, 0.003674, 0.004540, 0.002524, 0.000314, 0.000377, -0.000389, 1.000000
200000000, 0.004359, 0.004642, 0.002921, 0.000306, 0.000405, -0.000399, 1.000000
210000000, 0.005084, 0.004687, 0.003354, 0.000295, 0.000434, -0.000405, 1.000000
220000000, 0.005844, 0.004667, 0.003823, 0.000284, 0.000464, -0.000408, 1.000000
230000000, 0.006635, 0.004574, 0.004329, 0.000271, 0.000493, -0.000407, 1.000000
240000000, 0.007451, 0.004404, 0.004873, 0.000257, 0.000523, -0.000403, 1.000000
250000000, 0.007955, 0.003983, 0.005454, 0.000233, 0.000530, -0.000379, 1.000000
260000000, 0.008435, 0.003514, 0.006073, 0.000212, 0.000535, -0.000353, 1.000000
270000000, 0.008889, 0.003000, 0.006729, 0.000192, 0.000540, -0.000325, 1.000000
280000000, 0.009316, 0.002445, 0.007423, 0.000174, 0.000542, -0.000296, 1.000000
290000000, 0.009715, 0.001853, 0.008154, 0.000159, 0.000544, -0.000266, 1.000000
300000000, 0.010087, 0.001231, 0.008921, 0.000147, 0.000543, -0.000235, 1.000000
310000000, 0.010433, 0.000585, 0.009724, 0.000137, 0.000541, -0.000204, 1.000000
320000000, 0.010753, -0.000078, 0.010562, 0.000131, 0.000537, -0.000172, 1.000000
330000000, 0.011049, -0.000750, 0.011435, 0.000127, 0.000531, -0.000141, 1.000000
340000000, 0.011323, -0.001423, 0.012340, 0.000127, 0.000524, -0.000110, 1.000000
350000000, 0.011576, -0.002088, 0.013277, 0.000130, 0.000515, -0.000080, 1.000000
360000000, 0.011811, -0.002736, 0.014245, 0.000137, 0.000504, -0.000051, 1.000000
370000000, 0.012031, -0.003359, 0.015241, 0.000146, 0.000491, -0.000023, 1.000000
380000000, 0.012237, -0.003946, 0.016265, 0.000159, 0.000477, 0.000002, 1.000000
390000000, 0.012433, -0.004488, 0.017315, 0.000176, 0.000462, 0.000026, 1.000000
400000000, 0.012620, -0.004978, 0.018389, 0.000195, 0.000445, 0.000047, 1.000000
410000000, 0.012802, -0.005407, 0.019485, 0.000218, 0.000427, 0.000065, 1.000000
420000000, 0.012981, -0.005766, 0.020601, 0.000244, 0.000407, 0.000081, 1.000000
430000000, 0.013158, -0.006048, 0.021735, 0.000273, 0.000387, 0.000093, 1.000000
440000000, 0.013336, -0.006247, 0.022886, 0.000304, 0.000366, 0.000103, 1.000000
450000000, 0.013515, -0.006357, 0.024050, 0.000338, 0.000344, 0.000109, 1.000000
460000000, 0.013698, -0.006372, 0.025226, 0.000374, 0.000322, 0.000112, 1.000000
470000000, 0.013884, -0.006290, 0.026411, 0.000412, 0.000299, 0.000112, 1.000000
480000000, 0.014074, -0.006106, 0.027604, 0.000452, 0.000275, 0.000108, 1.000000
490000000, 0.014268, -0.005819, 0.028801, 0.000494, 0.000252, 0.000102, 1.000000
500000000, 0.014465, -0.005428, 0.030000, 0.000536, 0.000228, 0.000092, 1.000000
510000000, 0.014664, -0.004935, 0.031200, 0.000580, 0.000204, 0.000080, 1.000000
520000000, 0.014863, -0.004340, 0.032400, 0.000624, 0.000179, 0.000065, 1.000000
530000000, 0.015062, -0.003647, 0.033600, 0.000668, 0.000155, 0.000048, 1.000000
540000000, 0.015256, -0.002859, 0.034800, 0.000712, 0.000130, 0.000029, 1.000000
550000000, 0.015444, -0.001981, 0.036000, 0.000756, 0.000106, 0.000008, 1.000000
560000000, 0.015622, -0.001021, 0.037200, 0.000799, 0.000081, -0.000015, 1.000000
